PropMean.groups1,PropMean.groups2,PropRatio,Tstatistic,P.Value,FDR
7,0.0493700238755899,0.14391645224388,0.343046421071635,-2.83589092346616,0.00588556901511972,0.0529701211360775
8,0.11587547044676,0.228202284787696,0.507775242279292,-2.40079776450212,0.0188645790911184,0.084890605910033
1,0.0945917811254752,0.0359885111859536,2.62838828304724,1.70739545011948,0.0919273567264299,0.210567495681556
4,0.303678056098253,0.200190371510466,1.51694636363855,1.69857986634966,0.0935855536362472,0.210567495681556
2,0.119435643411242,0.0857790310461953,1.3923641005798,1.5768454441868,0.119082640580774,0.214348753045393
9,0.0918899515302313,0.0791598343988254,1.16081535829482,-0.97430980918141,0.333066456462726,0.499599684694089
5,0.162236771402516,0.184461102996504,0.8795175176069,0.523714745494223,0.602036752153011,0.747107573341292
3,0.0311948464935071,0.0287803245032073,1.08389488416056,-0.346580057266198,0.72988715650991,0.747107573341292
6,0.0317274556164252,0.0135220873272722,2.34634304959969,0.323657093232344,0.747107573341292,0.747107573341292
