1,2,3,4,5,6,7,8,9
0,203,3176,2,9010,187,236,70,5061,3065
1,774,12,17,263,4269,140,3384,1099,70
2,1397,1398,21,13,19,8,267,0,2220
3,104,39,0,86,19,1184,27,65,54
4,3,0,682,0,0,0,0,0,33

1,2,3,4,5,6,7,8,9
sample1,2,79,0,310,218,3,14,119,27
sample10,38,183,0,71,22,0,0,1,0
sample11,71,56,0,864,260,2,8,15,0
sample13,0,0,0,0,100,1,7,401,0
sample14,0,2,2,1,3,11,104,9,52
sample15,10,0,0,0,120,2,32,1,0
sample16,0,0,0,677,78,7,2,77,0
sample17,0,1,0,82,52,1,0,33,2
sample19,0,0,0,0,51,2,74,344,0
sample2,0,0,1,0,0,3,38,0,288
sample20,116,68,0,0,7,1,2,0,2
sample21,22,26,0,75,23,0,1,21,0
sample22,3,25,0,501,172,5,5,28,1
sample23,6,24,0,717,162,2,1,155,0
sample24,0,0,0,16,35,1,13,108,1
sample25,1,3,0,21,5,5,0,0,0
sample26,147,488,0,0,43,0,35,0,34
sample27,23,17,0,0,12,2,2,3,11
sample28,0,0,0,67,28,4,2,15,0
sample29,0,1,0,764,50,11,0,189,0
sample3,53,1033,0,5,66,2,2,22,9
sample30,15,9,0,0,4,0,2,0,0
sample31,7,17,0,33,46,1,0,12,0
sample32,5,42,0,9,48,0,2,32,16
sample33,23,2,1,11,149,0,146,8,5
sample34,2,0,1,109,313,0,65,321,0
sample35,2,5,0,208,25,3,0,18,0
sample36,3,2,0,43,78,0,0,4,0
sample37,18,9,0,33,44,0,40,0,0
sample38,0,1,1,4,2,8,120,238,73
sample39,0,0,0,581,61,8,1,79,0
sample4,1,13,0,315,138,1,8,28,0
sample40,0,0,486,0,0,0,2,0,14
sample41,5,205,0,407,236,0,40,23,1
sample42,0,1,0,4,56,3,124,33,4
sample43,0,0,2,218,27,35,57,737,0
sample44,0,1,0,0,0,241,120,0,1029
sample46,1,61,0,0,0,597,19,0,987
sample47,7,246,0,15,68,6,109,12,144
sample49,2,0,1,6,0,5,202,303,314
sample5,0,0,0,193,50,4,2,311,0
sample50,124,389,11,0,2,6,173,0,833
sample51,3,100,0,93,87,156,632,156,530
sample52,4,29,0,5,9,128,758,0,716
sample53,16,47,2,0,4,29,60,0,142
sample54,1333,889,0,0,7,204,6,0,105
sample55,2,0,6,2,6,1,56,85,0
sample56,2,0,10,110,68,1,1,3,0
sample57,67,24,0,35,14,0,3,4,0
sample58,0,2,0,18,20,0,3,18,0
sample59,0,1,0,30,95,7,19,26,1
sample6,0,0,0,0,21,3,122,205,0
sample63,0,23,0,696,120,13,12,155,4
sample64,5,2,3,179,176,0,3,12,0
sample65,12,5,1,607,242,17,92,416,22
sample66,7,0,0,109,110,0,3,35,1
sample67,176,136,0,299,78,7,4,72,38
sample68,0,0,2,261,195,2,45,334,0
sample69,5,1,1,130,117,7,226,618,4
sample7,0,0,0,0,3,8,97,317,1
sample70,69,251,0,27,93,1,17,2,10
sample72,36,7,0,137,77,0,0,4,0
sample73,0,0,0,1,10,0,1,52,0
sample74,0,0,191,0,0,1,0,0,21
sample76,34,93,0,164,28,0,0,5,0
sample8,0,0,0,0,9,0,13,6,0
sample9,3,6,0,109,51,0,1,0,0
